Date    ,Time    ,Latitude  ,Longitude ,Head,Km/h,Alt-m  ,Lock,  ,Temp C,Pa    ,
11/27/35,21:04:18,+047.00213,-120.54025,0156,0000,+000501,0003,  ,+003.3,097129,
11/27/35,21:04:24,+047.00215,-120.54025,0156,0000,+000501,0003,  ,+003.3,097128,
11/27/35,21:04:30,+047.00215,-120.54025,0156,0001,+000501,0003,  ,+003.3,097141,
11/27/35,21:04:36,+047.00213,-120.54025,0175,0000,+000501,0003,  ,+003.4,097128,
11/27/35,21:04:42,+047.00214,-120.54025,0174,0000,+000501,0003,  ,+003.4,097124,
11/27/35,21:04:48,+047.00214,-120.54025,0174,0000,+000502,0003,  ,+003.5,097120,
11/27/35,21:04:54,+047.00214,-120.54024,0174,0000,+000502,0003,  ,+003.5,097126,
11/27/35,21:05:00,+047.00215,-120.54024,0174,0000,+000502,0003,  ,+003.5,097137,
11/27/35,21:05:06,+047.00215,-120.54023,0174,0000,+000502,0003,  ,+003.6,097126,
11/27/35,21:05:12,+047.00215,-120.54023,0174,0000,+000502,0003,  ,+003.6,097116,
11/27/35,21:05:18,+047.00217,-120.54021,0174,0000,+000502,0003,  ,+003.6,097118,
11/27/35,21:05:24,+047.00214,-120.54020,0174,0001,+000501,0003,  ,+003.6,097115,
11/27/35,21:05:30,+047.00216,-120.54019,0174,0000,+000501,0003,  ,+003.6,097114,
11/27/35,21:05:36,+047.00217,-120.54019,0174,0000,+000500,0003,  ,+003.6,097117,
11/27/35,21:05:42,+047.00215,-120.54020,0174,0000,+000500,0003,  ,+003.6,097129,
11/27/35,21:05:48,+047.00216,-120.54021,0174,0000,+000500,0003,  ,+003.6,097131,
11/27/35,21:05:54,+047.00216,-120.54022,0170,0001,+000500,0003,  ,+003.6,097132,
11/27/35,21:06:00,+047.00213,-120.54024,0171,0000,+000499,0003,  ,+003.7,097125,
11/27/35,21:06:06,+047.00216,-120.54021,0171,0000,+000496,0003,  ,+003.7,097117,
11/27/35,21:06:12,+047.00221,-120.54024,0141,0000,+000494,0003,  ,+003.8,097123,
11/27/35,21:06:18,+047.00221,-120.54025,0141,0000,+000495,0003,  ,+003.8,097124,
11/27/35,21:06:24,+047.00221,-120.54025,0142,0000,+000495,0003,  ,+003.7,097124,
11/27/35,21:06:30,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.7,097112,
11/27/35,21:06:36,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.6,097118,
11/27/35,21:06:42,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.6,097127,
11/27/35,21:06:48,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.6,097121,
11/27/35,21:06:54,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.6,097128,
11/27/35,21:07:00,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.6,097130,
11/27/35,21:07:06,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.7,097121,
11/27/35,21:07:12,+047.00221,-120.54024,0142,0000,+000495,0003,  ,+003.7,097120,
11/27/35,21:07:18,+047.00220,-120.54024,0142,0000,+000495,0003,  ,+003.9,097127,
11/27/35,21:07:24,+047.00223,-120.54023,0069,0001,+000494,0003,  ,+004.0,097124,
11/27/35,21:07:30,+047.00223,-120.54022,0067,0000,+000494,0003,  ,+004.0,097108,
11/27/35,21:07:36,+047.00224,-120.54022,0067,0000,+000493,0003,  ,+004.0,097127,
11/27/35,21:07:42,+047.00223,-120.54022,0067,0000,+000494,0003,  ,+004.0,097120,
11/27/35,21:07:48,+047.00223,-120.54021,0067,0000,+000495,0003,  ,+004.0,097119,
11/27/35,21:07:54,+047.00223,-120.54021,0067,0000,+000495,0003,  ,+004.0,097116,
11/27/35,21:08:00,+047.00223,-120.54021,0081,0001,+000496,0003,  ,+004.1,097113,
11/27/35,21:08:06,+047.00225,-120.54022,0081,0000,+000496,0003,  ,+004.1,097115,
11/27/35,21:08:12,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.1,097120,
11/27/35,21:08:18,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.1,097124,
11/27/35,21:08:24,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.0,097114,
11/27/35,21:08:30,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.0,097111,
11/27/35,21:08:36,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.0,097121,
11/27/35,21:08:42,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.0,097115,
11/27/35,21:08:48,+047.00225,-120.54022,0081,0000,+000497,0003,  ,+004.0,097118,
11/27/35,21:08:54,+047.00223,-120.54023,0081,0000,+000497,0003,  ,+003.9,097125,
11/27/35,21:09:00,+047.00223,-120.54024,0072,0001,+000499,0003,  ,+004.0,097120,
11/27/35,21:09:06,+047.00223,-120.54021,0072,0000,+000500,0003,  ,+004.0,097124,
11/27/35,21:09:12,+047.00222,-120.54021,0072,0000,+000501,0003,  ,+004.0,097117,
11/27/35,21:09:18,+047.00222,-120.54021,0072,0000,+000501,0003,  ,+003.9,097118,
11/27/35,21:09:24,+047.00221,-120.54021,0072,0000,+000501,0003,  ,+003.9,097123,
11/27/35,21:09:30,+047.00221,-120.54021,0072,0000,+000501,0003,  ,+003.8,097118,
11/27/35,21:09:36,+047.00221,-120.54021,0072,0000,+000501,0003,  ,+003.8,097129,
11/27/35,21:09:42,+047.00220,-120.54020,0072,0000,+000500,0003,  ,+003.8,097122,
11/27/35,21:09:48,+047.00220,-120.54020,0072,0000,+000500,0003,  ,+003.8,097118,
11/27/35,21:09:54,+047.00220,-120.54021,0072,0000,+000500,0003,  ,+003.8,097103,
11/27/35,21:10:00,+047.00220,-120.54021,0072,0000,+000500,0003,  ,+003.8,097116,
11/27/35,21:10:06,+047.00220,-120.54021,0072,0000,+000500,0003,  ,+003.8,097118,
11/27/35,21:10:12,+047.00220,-120.54021,0072,0000,+000500,0003,  ,+003.9,097119,
11/27/35,21:10:18,+047.00220,-120.54021,0072,0000,+000500,0003,  ,+003.8,097118,
11/27/35,21:10:24,+047.00220,-120.54022,0072,0000,+000500,0003,  ,+003.8,097123,
11/27/35,21:10:30,+047.00220,-120.54022,0072,0000,+000500,0003,  ,+003.9,097116,
11/27/35,21:10:36,+047.00220,-120.54022,0072,0000,+000500,0003,  ,+003.8,097115,
11/27/35,21:10:42,+047.00220,-120.54023,0072,0000,+000500,0003,  ,+003.8,097104,
11/27/35,21:10:48,+047.00219,-120.54023,0072,0000,+000500,0003,  ,+003.8,097111,
11/27/35,21:10:54,+047.00217,-120.54022,0072,0000,+000501,0003,  ,+003.8,097120,
11/27/35,21:11:00,+047.00218,-120.54020,0072,0001,+000502,0003,  ,+003.8,097118,
11/27/35,21:11:06,+047.00220,-120.54021,0072,0000,+000504,0003,  ,+003.8,097121,
11/27/35,21:11:12,+047.00218,-120.54018,0072,0000,+000502,0003,  ,+003.8,097105,
11/27/35,21:11:18,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.7,097110,
11/27/35,21:11:24,+047.00218,-120.54019,0072,0000,+000501,0003,  ,+003.8,097106,
11/27/35,21:11:30,+047.00218,-120.54019,0072,0000,+000501,0003,  ,+003.8,097113,
11/27/35,21:11:36,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097112,
11/27/35,21:11:42,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.7,097102,
11/27/35,21:11:48,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097103,
11/27/35,21:11:54,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097108,
11/27/35,21:12:00,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097108,
11/27/35,21:12:06,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097107,
11/27/35,21:12:12,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097114,
11/27/35,21:12:18,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097110,
11/27/35,21:12:24,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.8,097114,
11/27/35,21:12:30,+047.00218,-120.54020,0072,0000,+000501,0003,  ,+003.9,097101,
